id,name,review_count,rating,latitude,longitude,price,zip_code
obeMTl6pKvPnzMk246urqQ,Onion Roll,132,4.0,41.90864,-87.80001,$,60302
Qb8w-Hvhj_RRIyVI3rPxlw,NRebozo,629,4.5,41.87974,-87.80985,$$,60130
HZP8Ieuq8lmFpz7V41NJgQ,New Star Restaurant,449,4.0,41.90891,-87.81276,$$,60707
0tzsONdofXlQ-6POvRyKbg,Michael's Beef House,94,4.0,41.90871,-87.79475,$,60302
8nO-_JQB70yQKprVt4qQVQ,Okami Sushi,46,4.5,41.90922,-87.79562,$$,60707
T4AAu0Jd7w0nf_1P4pZ1rQ,Gaetano's Forest Park,323,4.5,41.87915,-87.81561,$$$,60130
Sby9fFU1V-8dK9zD6Qhcjw,Amerikas,201,4.5,41.88881,-87.79431,$$,60301
pooOFggd9fGaY82xqC_HFQ,Donny G's Ristorante & Bar,85,4.5,41.90916,-87.8088,$$,60707
XkQnscqWCcjcqTizpW0mGA,Munch,411,4.0,41.88758,-87.80223,$$,60301
9aL5bj6RZvq2rhu6VM4EZg,Inari Sushi,218,4.0,41.90907,-87.81239,$$,60707
zps8NFoCy6Ut3A6X2V7dlA,Na Siam Thai Restaurant,92,4.0,41.90867,-87.79753,$$,60302
QVu1OIbTlFOV-V2D9DMkCA,Cucina Paradiso,342,4.0,41.8876,-87.79525,$$,60301
4cuQ2_9q7uEnVy78yxWRgA,Wild Fish and Beef,15,5.0,41.90945,-87.79082,,60707
f1KdSPyHD0T0cDk6faJGRg,BaseHit BBQ & Catering,59,4.0,41.90939,-87.79063,$,60707
D_mRqwy5KOUie6Nith07Sg,Gringo & Blondie Taqueria,121,4.5,41.90904,-87.81403,,60707
VeY4IjbkuHqzjFI-Gpf1Ow,Rustico,226,4.5,41.8888,-87.79382,$$,60301
whS2ox80ViPMCR5-FhAr7w,Madison Park Kitchen,270,4.0,41.8796,-87.81324,$$,60130
4pe2zEgfE1NfWzQxLxxRVw,Freddy's Pizza,668,4.5,41.85799,-87.77671,$$,60804
lK0IiJc7OwaSQDSQv2XWdA,Cigars & Stripes BBQ Lounge,249,4.5,41.82815,-87.79098,$$,60402
I93tt83rdE6kJoOPoaaPGA,Burger Antics,649,4.5,41.82266,-87.84498,$$,60513
yuPkGRoguRFVrGuTI5afEw,Lavergne's Tavern,273,4.0,41.83414,-87.78771,$$,60402
Ocie05DGFWQnpqBaU4P3Lw,Sen Sushi Bar,524,4.5,41.87361,-87.7937,$$,60304
vrBxlItML_wYFAbAOhCzug,Bodhi Thai Bistro,376,4.0,41.86522,-87.77967,$$,60402
qB5o2rID2fYalsbl6Co7sQ,Flapjack Brewery,114,4.5,41.83352,-87.79463,$$,60402
-3NATs0hi6y0ORyEC4q7Ew,Mary's Morning Mix Up,238,4.5,41.8292,-87.84988,$$,60513
8_5F46YnIkI3NXuVDsAk2Q,Kama Bistro,677,4.0,41.81565,-87.86961,$$,60525
JxMuyQCISkVZJQYQ5ld79g,The Chew Chew,226,4.0,41.82817,-87.81797,$$,60546
E1fYEdRlb0xyMp2FfXnT8Q,Empanadus,118,4.5,41.82794,-87.81924,$,60546
2PZKcPqpD1onzrErfIbHVw,Elly's Pancake House,333,3.5,41.97671,-87.76894,$$,60630
OiuZPTY40T3bXpvfE0HS0w,Paterno's Pizza,107,3.5,41.97746,-87.76864,$$,60630
6wkOUidf34Mou12Ou5wqCw,Moy Lee Chinese Restaurant,130,3.5,41.97771,-87.77007,$$,60630
qcSj-9uQdU5CCrKTzVieRg,King's Gyros,169,3.0,41.97553,-87.7671,$,60630
UxAbyf8insl_1wxbphOGJA,Duke's,88,3.5,41.98468,-87.76805,$,60646
UBmLVxpplk_wPfXgMGuZ_g,Chinese Kitchen,76,3.5,41.97685,-87.76972,$,60630
U0srsr4F2BxU_5599fsHUg,Jefferson Park Grill,63,4.5,41.97061,-87.76266,$,60630
iOf9Tidp4ZQNollgM4cALg,Rosati's Pizza,59,3.0,41.98284,-87.77434,$$,60630
AbzlDQV1CqTXkUoE4NI3Sg,Brandy's Gyros,70,3.0,41.98672,-87.77746,$$,60646
Q6_BGOsbvm2qr5aDDM4stg,Somerset,499,4.0,41.90241,-87.62891,$$$,60610
dKcO9OQ44RPRlkWe-vToFA,Shaw's Crab House,2355,4.0,41.88994,-87.62735,$$$,60611
qn6fB-5L8uXdn3i2G_NjYg,Whispers Cafe,102,4.0,41.90172,-87.62823,$,60610
dSqRMhGNCWuSjPT_4lsZqw,Siena Tavern,1959,4.0,41.88914,-87.62997,$$$,60654
Kesy2o_OiHCS6juMdXFb7A,Goose Island Shrimp House Chicago,228,4.0,41.90336,-87.653,$,60642
JMWtBuuNmTXqoBs06Wt_7w,RPM Steak,1560,4.0,41.88932,-87.63061,$$$$,60654
tuJraaFffIS_JNK_4ZqGTA,Ema,1214,4.5,41.89096,-87.63089,$$,60654
AqgG-1aD6JYj9D6OmBWO3w,Frontera Grill,2392,4.0,41.89057,-87.63079,$$$,60654
zIXZtgiir9CVF-iZeeAvaQ,RAMEN-SAN,2532,4.0,41.8898,-87.63029,$$,60654
1g52-6WzlhjIOpNAsBjPJg,Sushi X,513,4.0,41.89641,-87.65665,$$,60642
qsbqJTaZhkdEM9oJ6fxKNg,Uncle Julio's,1329,3.0,41.91058,-87.65028,$$,60642
rgHFY55p10VVur7N3s-z5Q,Roka Akor - Chicago,1289,4.0,41.89037,-87.63126,$$$$,60654
yo0bfJgkVVhoWrL79RyBhw,Cleo's Southern Cuisine,91,4.5,41.81715,-87.60704,,60653
oda25GDqmwS4Hdp_IarIaA,Honey 1 BBQ,92,3.5,41.81708,-87.60707,$$,60653
eISKW6hsDUKFz7SJsI4_7Q,Papa Philly & Fish,17,4.0,41.75842,-87.60575,$,60619
eRTmF8mEms3vybR9U8o1VA,Marlon's Chicken,22,3.5,41.75872,-87.60999,$,60619
aInJI0-1j0L1f5BvVgoE4g,Jerk Taco Man,100,2.0,41.75382,-87.62446,,60619
fbYUfhIcHQ10hFFb-lgIUw,Mr Greek Gyros,383,3.5,41.87817,-87.6475,$$,60661
TupUBU0WaKhloP2GVIl5fw,Philly's Best,312,3.5,41.87782,-87.64656,$$,60661
XGeD1lflakOrRuHlOn4vhg,Rye Deli & Drink,75,4.5,41.8806,-87.64656,$$,60661
09eEic9nbbSYMRizNfWrLQ,Primos Chicago Pizza Pasta,189,4.0,41.87683,-87.6482,$,60607
0lpQxkQuKOBuV8pylAaQfQ,Spectrum Bar and Grill,121,3.5,41.87826,-87.64703,$$,60661
0IqrRskWAowrfqPCJD3eQg,Xi’an Cuisine,28,4.5,41.87782,-87.64685,,60661
ytFpgrsKQ-RoWpBIB05OJw,Formento's,650,4.0,41.88404,-87.65081,$$$,60607
wl-48uPlP-7RTC1p7sJEyw,Nando's PERi-PERi,611,4.0,41.8841,-87.6518,$$,60607
YXwVWVhmbBeVnnHJIV3mgg,Jubilee Juice & Grill,504,4.5,41.88406,-87.64751,$$,60661
UuFw2uvguW9jVdsjrMWmxA,Taco Burrito King - Greektown,190,3.0,41.87782,-87.64757,$,60607
hJE3I8M9Fy7t_B8q4jHrVg,Parlor Pizza Bar,1218,3.5,41.88376,-87.64886,$$,60607
_CoQ7eTOpP3B-oGpip-Lpg,Omakase Yume,126,4.5,41.88306,-87.64453,$$$$,60661
1BHgaf25FpVSOXFpZF0pYw,Trivoli Tavern,134,4.5,41.88372,-87.64904,$$$,60607
2L0cobUly2HYZaMoJlT8vg,Booze Box,174,4.5,41.88408,-87.64837,,60607
5I9mVLHZupksTqU0BsP9Mw,The Madison Bar & Kitchen,289,4.0,41.8814,-87.65318,$$,60607
65-YoAsiOo1-1jPQxvZsog,El Che Steakhouse & Bar,272,4.0,41.88299,-87.64916,$$$$,60607
hBFVeAfu6bSf3twPcLmNcw,Blaze Pizza,233,4.0,41.88111,-87.64149,$,60661
BShJp9xl8EzP55v6Ix1yxw,M2 Cafe,86,4.0,41.87815,-87.64927,$,60607
H3wrzc0rF8yGH40vDzYzGw,Bandit,339,4.0,41.88392,-87.64911,$$,60607
edYoPJg10jfN_UFQiwtMpA,Yolk West Loop,352,4.0,41.88207,-87.64087,$$,60661
ERQbJaHn9qfImVPQ7toyzg,Nonna's Pizza & Sandwiches,168,4.0,41.88404,-87.65081,$$,60607
34x6HdWQ8uTFp9rYaUIrUg,Tamashii Ramen,9,5.0,41.87815,-87.6478,,60607
h-RwYpF33rVO4vl37_Yg9w,Giordano's,320,3.5,41.87627,-87.64804,$$,60607
f87NpkBHg9dvjH5d-3T27w,Veros Caffe and Gelato,28,3.5,41.88127,-87.64736,$,60661
WLbaTcWigpVQWDwbCajuhA,Ciao! Cafe & Wine Lounge,162,4.0,41.88158,-87.65099,$$,60607
