id,name,review_count,rating,latitude,longitude,price,zip_code
YPW37XWMlTZx3y7r80o8rA,Urban Ramen,605,4.0,42.35187,-83.0608,2,48201
-mguM6V0E2XTx3A1qBLSyw,Baobab Fare,109,5.0,42.37001,-83.07294,2,48202
n_QyiAUeW8cVNfVvA3GpdQ,Vertical Detroit,386,4.0,42.33633,-83.04716,3,48226
4U4GNiJgT4laE9VHmodvJA,Marrow,238,4.5,42.35852,-82.99882,4,48214
2vPro9dmObwcWcs4gdU_3w,El Barzon,471,4.0,42.33092,-83.11107,2,48210
le3t2klC9l-Xc3Uym0i6GA,Cornerstone Barrel House,276,4.5,42.33502,-83.04883,2,48226
lZyf7m2XxI5b3YM0vOLCXw,Maru Sushi & Grill Detroit,439,4.0,42.33059,-83.04832,2,48226
q2BSrIE_FQjQGtw6_N5C5Q,La Feria,383,4.0,42.3502,-83.06276,2,48201
KYoip_XCktFrFQl6pNS8Vw,Jolly Pumpkin Pizzeria and Brewery- Detroit,463,4.0,42.35126,-83.06525,2,48201
QUPAXavtWd6LKnvsWV6ywQ,Detroit Shipping Company,322,4.0,42.34402,-83.06146,2,48201
DyuNFX-RbclTBBJk9LUyTw,Cannelle Matt Knio,168,4.5,42.33364,-83.04952,0,48228
PWkqo_whZ0qhLTpLsi5xjw,Mootz Pizzeria + Bar,275,4.0,42.33443,-83.04693,2,48226
A7qhrIwaUgdwcLD44JY5XA,San Morello,419,4.0,42.33439,-83.04848,3,48226
iqHPET9Z17ugMjorPyDfIw,The London Chop House,312,4.0,42.32927,-83.0476,4,48226
bcpTLnLbpf711AuBxO_mLQ,Prime and Proper,475,3.5,42.33229,-83.04931,4,48226
8I1Ja8TbfEN0UOWocP0usA,Cliff Bell's,584,3.5,42.33681,-83.05272,2,48226
9zI10-FuCxKqd0FAHwUFRA,Lumen Detroit,364,4.0,42.33452,-83.05469,2,48226
dwoSwJ1MkLjCgoy2adC1UQ,Downtown Louie's,278,4.0,42.33488,-83.05014,2,48226
zZldbS9xvdEQuMBzOVwzvA,Olin Bar & Kitchen,107,4.5,42.33456,-83.04809,3,48226
SGUzqurQ2jEuuk8kpUEAoQ,Avalon Cafe and Bakery,219,4.0,42.33255,-83.04801,2,48226
MG_dEntWnCwiyczRERCc1A,La Lanterna,196,4.0,42.33304,-83.04903,2,48226
JbeFCVw4IkXK6pV6HA8O4Q,American Coney Island,441,3.5,42.33151,-83.04867,1,48226
m_jDZuBDEonJLtzB9L6X5g,Detroit Beer Company,445,3.5,42.33583,-83.04883,2,48226
ga6XUaH06FXz3-5kGxRZ4w,Rusted Crow Detroit,378,3.5,42.33649,-83.05241,2,48226
eFB-ZId9NK-6p4uwyuAwiw,Jose's Tacos,142,4.0,42.33554,-83.04668,1,48226
I-CjgKtXqZ6ccuDFg-czzg,Leila,130,4.0,42.33325,-83.04999,0,48226
aimziXD36KyHZH-ERGv5uQ,Calexico - Detroit,488,3.0,42.33291,-83.04751,2,48226
XMieCaQ9NofNrzSl9FsOqg,PAO Detroit,221,4.0,42.33632,-83.05307,2,48226
rjLf7nlwmw10w3--wxR2tw,Caucus Club,145,4.0,42.32956,-83.0476,3,48226
